name,Rank,source_rank,position,team,source_player_id,bye,rush_attempts,rush_yards,rush_touchdowns,receptions,receiving_yards,receiving_touchdowns,projected_fantasy_points,source_updated_date,season
Tank Bigsby,59,59,RB,PHI,18475,10,87,375,3,5,31,0,61.1,2026-08-20,2026
Sean Tucker,60,60,RB,TB,18709,10,70,267,3,9,67,0,55.9,2026-08-20,2026
Mike Washington Jr.,61,61,RB,LV,19896,13,85,339,2,7,47,0,54.1,2026-08-20,2026
Kimani Vidal,62,62,RB,LAC,19135,7,66,272,2,11,87,0,53.4,2026-08-20,2026
Emari Demercado,63,63,RB,KC,18741,5,51,235,1,19,135,0,52.5,2026-08-20,2026
Jonah Coleman,64,64,RB,DEN,19836,10,66,277,2,11,68,0,52,2026-08-20,2026
Jaylen Wright,65,65,RB,MIA,19155,6,61,256,2,9,71,0,49.2,2026-08-20,2026
George Holani,66,66,RB,SEA,19262,11,58,233,2,11,78,0,48.6,2026-08-20,2026
Najee Harris,67,67,RB,NYG,17592,8,58,233,2,5,41,0,41.9,2026-08-20,2026
Jaydon Blue,68,68,RB,DAL,19318,14,61,224,1,11,71,0,41,2026-08-20,2026
Jordan James,69,69,RB,SF,19403,8,59,259,1,7,47,0,40.1,2026-08-20,2026
Isaiah Davis,70,70,RB,NYJ,18947,13,36,145,1,14,107,0,38.2,2026-08-20,2026
Emmett Johnson,71,71,RB,KC,19790,5,48,186,1,11,77,0,37.8,2026-08-20,2026
LeQuint Allen,72,72,RB,JAC,19302,7,21,82,0,20,135,1,37.7,2026-08-20,2026
Jeremy McNichols,73,73,RB,WAS,15957,7,21,105,1,16,116,0,36.1,2026-08-20,2026
Seth McGowan,74,74,RB,IND,19922,13,42,168,1,11,77,0,36,2026-08-20,2026
Kyle Juszczyk,75,75,RB,SF,13213,8,8,15,0,22,174,1,35.9,2026-08-20,2026
Will Shipley,76,76,RB,PHI,19104,10,34,135,1,11,80,0,33,2026-08-20,2026
Ollie Gordon II,77,77,RB,MIA,19371,6,46,181,1,8,48,0,32.9,2026-08-20,2026
James Conner,78,78,RB,ARI,15840,14,36,142,1,8,68,0,31,2026-08-20,2026
Kaytron Allen,79,79,RB,WAS,19857,7,37,148,1,7,45,0,28.8,2026-08-20,2026
Demond Claiborne,80,80,RB,MIN,19771,6,36,145,1,4,29,0,25.4,2026-08-20,2026
Raheim Sanders,81,81,RB,CLE,19559,11,34,131,1,4,26,0,23.7,2026-08-20,2026
DJ Giddens,82,82,RB,IND,19368,13,38,148,1,2,17,0,23.5,2026-08-20,2026
Chris Brooks,83,83,RB,GB,18750,11,21,85,1,6,44,0,21.9,2026-08-20,2026
Kaelon Black,84,84,RB,SF,19849,8,28,114,1,2,16,0,20,2026-08-20,2026
Rasheen Ali,85,85,RB,BAL,18903,13,20,81,0,6,45,0,15.6,2026-08-20,2026
Kaleb Johnson,86,86,RB,PIT,19406,9,29,111,0,2,13,0,13.4,2026-08-20,2026
Trevor Etienne,87,87,RB,CAR,19354,5,18,82,0,4,25,0,12.7,2026-08-20,2026
Jawhar Jordan,88,88,RB,HOU,19014,8,21,88,0,3,17,0,12,2026-08-20,2026
Roschon Johnson,89,89,RB,CHI,18559,10,19,81,0,2,12,0,10.3,2026-08-20,2026
Emanuel Wilson,90,90,RB,SEA,18737,11,19,74,0,2,17,0,10.1,2026-08-20,2026
Trey Benson,91,91,RB,ARI,18916,14,23,100,0,0,0,0,10,2026-08-20,2026
Tahj Brooks,92,92,RB,CIN,19324,6,21,82,0,1,7,0,9.4,2026-08-20,2026
Kendre Miller,93,93,RB,NO,18594,8,17,65,0,2,12,0,8.7,2026-08-20,2026
Nicholas Singleton,94,94,RB,TEN,19901,9,16,64,0,2,11,0,8.5,2026-08-20,2026
