name,Rank,source_rank,position,source_position,team,source_player_id,games_played,pass_attempts,pass_completions,pass_yards,pass_yards_per_game,pass_touchdowns,interceptions,passer_rating,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Joshua Dobbs,47,54,QB,QB,DET,2071844,15,20,14,162,10.8,1,0,110.8,4,8,2,0,0,7,0.5,2026
Mason Rudolph,48,52,QB,QB,PIT,2131167,15,19,12,122,8.1,1,0,99,4,14,3.5,0,0,7,0.5,2026
Cole Payton,49,48,QB,QB,PHI,26725861,15,13,8,94,6.3,1,0,109.1,2,9,4.5,0,0,7,0.5,2026
Quinn Ewers,50,47,QB,QB,JAC,26746721,15,19,12,144,9.6,1,0,103.8,4,18,4.5,0,0,7,0.5,2026
Mac Jones,51,45,QB,QB,SF,2741202,16,21,15,154,9.6,1,1,88.2,4,18,4.5,0,0,7,0.4,2026
Tommy DeVito,52,46,QB,QB,NE,2865426,15,17,12,135,9,1,0,113.6,4,18,4.5,0,0,7,0.5,2026
Davis Mills,53,44,QB,QB,HOU,2867381,15,21,13,144,9.6,1,0,98.1,4,17,4.3,0,0,7,0.5,2026
Tyson Bagent,54,50,QB,QB,CHI,29081346,15,16,11,138,9.2,1,0,116.1,4,5,1.3,0,0,7,0.5,2026
Tanner McKee,55,55,QB,QB,PHI,2963945,15,17,10,115,7.7,1,0,98.9,4,14,3.5,0,0,7,0.5,2026
Tyler Huntley,56,49,QB,QB,BAL,3159137,15,15,10,123,8.2,1,0,114,5,25,5,0,0,7,0.5,2026
Jalon Daniels,57,51,QB,QB,TB,3166688,15,15,9,102,6.8,1,0,102.6,2,8,4,0,0,7,0.5,2026
Kyle Allen,58,60,QB,QB,BUF,2131782,15,13,7,88,5.9,1,0,100.8,2,2,1,0,0,6,0.4,2026
Cade Klubnik,59,59,QB,QB,NYJ,28874636,15,13,8,81,5.4,1,0,105,2,8,4,0,0,6,0.4,2026
Sam Howell,60,58,QB,QB,DAL,3123797,16,24,14,149,9.3,1,1,73.1,4,12,3,0,0,6,0.4,2026
Andy Dalton,61,67,QB,QB,PHI,1125961,15,17,11,126,8.4,1,0,106.5,4,20,5,0,1,5,0.3,2026
Joe Flacco,62,66,QB,QB,CIN,1250697,15,22,15,155,10.3,1,0,103.4,3,14,4.7,0,1,5,0.3,2026
Carson Wentz,63,64,QB,QB,MIN,1907522,15,17,11,120,8,1,1,80.5,4,18,4.5,0,0,5,0.3,2026
Kyle McCord,64,62,QB,QB,MIA,26702687,16,13,9,86,5.4,1,1,80.9,2,8,4,0,0,5,0.3,2026
Kenny Pickett,65,65,QB,QB,CAR,2804969,15,19,12,124,8.3,1,1,77.5,4,19,4.8,0,0,5,0.3,2026
Spencer Rattler,66,63,QB,QB,NO,3125863,15,21,14,149,9.9,1,1,83.2,4,15,3.8,0,0,5,0.3,2026
Brady Cook,67,61,QB,QB,MIA,3163207,15,16,11,107,7.1,1,1,82,4,16,4,0,0,5,0.3,2026
Trey Lance,68,68,QB,QB,LAC,2969444,16,20,12,132,8.3,0,1,58.7,4,17,4.3,0,0,1,0.1,2026
Jalen Milroe,69,69,QB,QB,SEA,26694943,1,1,0,5,5,0,0,47.9,0,1,0,0,0,0,0,2026
