name,Rank,source_rank,position,source_position,team,source_player_id,games_played,pass_attempts,pass_completions,pass_yards,pass_yards_per_game,pass_touchdowns,interceptions,passer_rating,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Bryce Young,17,17,QB,QB,CAR,3161957,16,491,315,3302,206.4,27,13,90.9,55,243,4.4,4,1,301,18.8,2026
Baker Mayfield,18,18,QB,QB,TB,2080032,16,509,329,3577,223.6,26,13,91.6,57,367,6.4,3,6,298,18.6,2026
Daniel Jones,19,19,QB,QB,IND,2179245,16,500,315,3605,225.3,28,11,94.1,44,155,3.5,2,3,296,18.5,2026
C.J. Stroud,20,20,QB,QB,HOU,3163079,16,538,336,3764,235.3,27,11,91.5,47,217,4.6,1,5,293,18.3,2026
Justin Herbert,21,21,QB,QB,LAC,2221960,16,481,315,3347,209.2,23,13,90.3,75,475,6.3,2,1,288,18,2026
B. Nix,22,22,QB,QB,DEN,3121193,16,525,332,3186,199.1,25,10,88,66,270,4.1,3,2,281,17.6,2026
Jacoby Brissett,23,23,QB,QB,ARI,1877247,16,559,365,3638,227.4,24,10,90.5,61,237,3.9,1,5,274,17.1,2026
Kyler Murray,24,24,QB,QB,MIN,2180829,15,417,266,2941,196.1,26,18,87.4,61,400,6.6,3,3,271,18.1,2026
Sam Darnold,25,25,QB,QB,SEA,2180320,15,427,291,3536,235.7,27,11,103.7,40,117,2.9,0,5,267,17.8,2026
Malik Willis,26,26,QB,QB,MIA,2804167,16,424,283,2850,178.1,20,18,83.7,136,666,4.9,4,5,265,16.6,2026
Cam Ward,27,27,QB,QB,TEN,3168422,16,519,307,3080,192.5,21,8,83.2,39,169,4.3,2,5,235,14.7,2026
Geno Smith,28,28,QB,QB,NYJ,1700358,16,454,292,2819,176.2,23,14,85.6,57,205,3.6,1,1,232,14.5,2026
Aaron Rodgers,29,29,QB,QB,PIT,419780,16,458,290,2913,182.1,21,8,89.4,22,55,2.5,1,2,224,14,2026
Deshaun Watson,30,30,QB,QB,CLE,2133482,16,394,245,2616,163.5,16,13,81.4,67,347,5.2,3,3,206,12.9,2026
Fernando Mendoza,31,31,QB,QB,LV,28916321,16,418,281,2566,160.4,20,16,83.7,53,245,4.6,1,2,202,12.6,2026
Tua Tagovailoa,32,32,QB,QB,ATL,2741209,15,242,155,1784,118.9,13,6,93.8,14,27,1.9,0,1,125,8.3,2026
Michael Penix Jr.,33,33,QB,QB,ATL,2963496,14,179,114,1331,95.1,9,4,93.6,12,37,3.1,0,1,88,6.3,2026
Shedeur Sanders,34,34,QB,QB,CLE,26710004,16,98,61,654,40.9,4,3,82.6,10,63,6.3,0,1,35,2.2,2026
T. Simpson,35,35,QB,QB,LAR,28878532,16,56,35,409,25.6,3,1,95,7,30,4.3,0,0,26,1.6,2026
Kirk Cousins,36,36,QB,QB,LV,1272574,16,74,49,461,28.8,3,3,79.8,6,5,0.8,0,0,24,1.5,2026
Drew Lock,37,37,QB,QB,SEA,2185479,16,46,30,364,22.8,3,1,102.1,7,31,4.4,0,0,23,1.4,2026
Marcus Mariota,38,38,QB,QB,WAS,1880862,16,45,28,325,20.3,3,1,97,1,6,6,0,0,21,1.3,2026
Carson Wentz,39,39,QB,QB,MIN,1907522,16,44,28,314,19.6,2,2,81.1,7,30,4.3,0,0,13,0.8,2026
Cooper Rush,40,40,QB,QB,ATL,2000176,1,28,18,197,197,1,1,82,1,2,2,0,0,10,10,2026
Anthony Richardson,41,41,QB,QB,IND,3163263,16,20,13,152,9.5,1,0,104.6,4,19,4.8,0,0,10,0.6,2026
Tyrod Taylor,42,46,QB,QB,GB,1243338,16,20,13,157,9.8,1,0,105.6,4,18,4.5,0,0,9,0.6,2026
Jameis Winston,43,45,QB,QB,NYG,1998197,16,19,12,134,8.4,1,0,101.6,5,20,4,0,0,9,0.6,2026
Jarrett Stidham,44,43,QB,QB,DEN,2180697,16,22,14,130,8.1,1,0,94.9,4,17,4.3,0,0,9,0.6,2026
Tommy DeVito,45,47,QB,QB,NE,2865426,16,18,13,145,9.1,1,0,114.4,4,19,4.8,0,0,9,0.6,2026
Davis Mills,46,44,QB,QB,HOU,2867381,16,22,14,153,9.6,1,0,99.2,4,18,4.5,0,0,9,0.6,2026
Stetson Bennett,47,42,QB,QB,LAR,2871628,16,20,13,138,8.6,1,0,101.7,3,20,6.7,0,0,9,0.6,2026
Tyler Huntley,48,48,QB,QB,BAL,3159137,16,16,10,131,8.2,1,0,109.1,5,26,5.2,0,0,9,0.6,2026
Mitch Trubisky,49,53,QB,QB,TEN,2060476,16,21,11,113,7.1,1,0,84,3,10,3.3,0,0,8,0.5,2026
Mason Rudolph,50,50,QB,QB,PIT,2131167,16,20,13,130,8.1,1,0,100,4,15,3.8,0,0,8,0.5,2026
Gardner Minshew,51,54,QB,QB,ARI,2183083,16,23,15,148,9.3,1,0,97.7,4,15,3.8,0,0,8,0.5,2026
Cole Payton,52,52,QB,QB,PHI,26725861,16,14,9,101,6.3,1,0,109.5,2,10,5,0,0,8,0.5,2026
Tyson Bagent,53,49,QB,QB,CHI,29081346,16,17,12,147,9.2,1,0,116.5,5,5,1,0,0,8,0.5,2026
Tanner McKee,54,51,QB,QB,PHI,2963945,16,18,11,124,7.8,1,0,100.2,5,15,3,0,0,8,0.5,2026
Jalon Daniels,55,55,QB,QB,TB,3166688,16,16,10,109,6.8,1,0,103.4,2,9,4.5,0,0,8,0.5,2026
Andy Dalton,56,59,QB,QB,PHI,1125961,16,18,12,135,8.4,1,0,107.4,5,22,4.4,0,1,7,0.4,2026
Justin Fields,57,58,QB,QB,KC,1273205,16,22,14,146,9.1,1,1,79,4,23,5.8,0,0,7,0.4,2026
Joshua Dobbs,58,62,QB,QB,DET,2071844,15,20,14,162,10.8,1,0,110.8,4,8,2,0,0,7,0.5,2026
Quinn Ewers,59,57,QB,QB,JAC,26746721,16,20,13,152,9.5,1,1,83.8,4,19,4.8,0,0,7,0.4,2026
Mac Jones,60,61,QB,QB,SF,2741202,16,21,15,154,9.6,1,1,88.2,4,18,4.5,0,0,7,0.4,2026
Kenny Pickett,61,63,QB,QB,CAR,2804969,16,20,13,132,8.3,1,1,79.6,4,21,5.3,0,0,7,0.4,2026
Cade Klubnik,62,64,QB,QB,NYJ,28874636,16,14,9,86,5.4,1,0,105.1,2,9,4.5,0,0,7,0.4,2026
Spencer Rattler,63,60,QB,QB,NO,3125863,16,22,15,158,9.9,1,1,85,4,16,4,0,0,7,0.4,2026
Brady Cook,64,56,QB,QB,MIA,3163207,16,17,11,114,7.1,1,1,79,4,17,4.3,0,0,7,0.4,2026
Kyle Allen,65,65,QB,QB,BUF,2131782,15,13,7,88,5.9,1,0,100.8,2,2,1,0,0,6,0.4,2026
Sam Howell,66,66,QB,QB,DAL,3123797,16,24,14,149,9.3,1,1,73.1,4,12,3,0,0,6,0.4,2026
Kyle McCord,67,67,QB,QB,MIA,26702687,16,13,9,86,5.4,1,1,80.9,2,8,4,0,0,5,0.3,2026
Joe Flacco,68,68,QB,QB,CIN,1250697,16,24,16,164,10.3,1,1,82.6,4,15,3.8,0,1,4,0.3,2026
Trey Lance,69,69,QB,QB,LAC,2969444,16,20,12,132,8.3,0,1,58.7,4,17,4.3,0,0,1,0.1,2026
Jalen Milroe,70,70,QB,QB,SEA,26694943,1,1,0,5,5,0,0,47.9,0,1,0,0,0,0,0,2026
J.J. McCarthy,71,72,QB,QB,MIN,26695214,1,1,1,8,8,0,0,100,0,1,0,0,0,0,0,2026
Jack Strand,72,71,QB,QB,ATL,50048640,1,5,3,37,37,0,0,82.9,1,3,3,0,0,0,0,2026
