name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Drew Stevens,23,23,K,WAS,28873746,17,27,32,,0.27,0.273,7.6,7.8,8.6,9.6,7.6,9.8,2.97,2.97,39,43,120,7.1,2026
Jake Elliott,24,24,K,PHI,2080295,17,26,33,,0.202,0.202,5.6,5.6,8.7,8.9,8.6,11,2.97,2.97,41,43,119,7,2026
Riley Patterson,25,25,K,MIA,2865368,17,27,31,,0.214,0.214,5.9,6,8.5,9.5,9.1,10.1,3.15,3.15,37,38,118,6.9,2026
Andres Borregales,26,26,K,NE,26699665,16,25,30,,0.387,0.387,6.4,6.5,7.5,8.3,5.9,8.9,4.38,4.38,41,42,116,7.3,2026
Chad Ryland,27,27,K,ARI,2964074,17,26,33,,0.214,0.214,5.9,5.9,8.7,9.5,7,10,4.55,4.55,37,37,115,6.8,2026
Chris Boswell,28,28,K,PIT,1724930,17,25,28,,0.207,0.208,5.7,5.9,6.7,8,7.7,8.8,4.41,4.41,36,37,111,6.5,2026
Ryan Fitzgerald,29,29,K,CAR,3126649,17,24,29,,0.193,0.193,5.9,6,7.9,8.9,8.2,9.2,1.98,1.98,34,37,106,6.2,2026
Andre Szmyt,30,30,K,CLE,2868551,17,23,25,,0.18,0.18,4.95,5,8.6,8.8,5.2,6.4,3.83,3.83,33,33,102,6,2026
Matt Gay,31,31,K,LV,2870511,17,23,30,,0.18,0.18,5.8,5.8,5.9,6.7,6.9,7.6,3.83,3.83,32,33,101,5.9,2026
Ben Sauls,32,32,K,NYG,3169819,17,20,26,,0.188,0.19,5.8,6,6.6,8.3,5.3,7.4,1.83,1.83,24,31,84,4.9,2026
Dominic Zvada,33,33,K,NYG,28876817,17,7,9,,0.066,0.066,1.84,1.9,2.1,2.6,1.84,2.66,0.723,0.723,9,12,30,1.8,2026
