name,Rank,source_rank,position,source_position,team,source_player_id,games_played,pass_attempts,pass_completions,pass_yards,pass_yards_per_game,pass_touchdowns,interceptions,passer_rating,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Kyler Murray,20,20,QB,QB,MIN,2180829,15,409,260,2905,193.7,25,17,87.7,60,392,6.5,3,3,265,17.7,2026
B. Nix,21,21,QB,QB,DEN,3121193,15,491,313,3080,205.3,23,10,88.5,60,232,3.9,3,2,263,17.5,2026
Deshaun Watson,22,22,QB,QB,CLE,2133482,15,462,296,3157,210.5,20,14,85.8,87,447,5.1,3,3,258,17.2,2026
Jordan Love,23,23,QB,QB,GB,2239997,14,426,272,3295,235.4,25,8,99.3,34,137,4,0,3,256,18.3,2026
Justin Herbert,24,24,QB,QB,LAC,2221960,15,448,290,3103,206.9,20,13,87.7,68,434,6.4,2,1,255,17,2026
Malik Willis,25,25,QB,QB,MIA,2804167,15,389,258,2654,176.9,19,15,86,129,619,4.8,4,4,253,16.9,2026
Cam Ward,26,26,QB,QB,TEN,3168422,15,479,288,2996,199.7,21,7,86.8,39,151,3.9,3,4,241,16.1,2026
Jacoby Brissett,27,27,QB,QB,ARI,1877247,15,515,334,3216,214.4,21,10,87.6,53,208,3.9,1,4,236,15.7,2026
Geno Smith,28,28,QB,QB,NYJ,1700358,15,436,281,2718,181.2,21,13,85.4,57,203,3.6,1,1,218,14.5,2026
Kirk Cousins,29,29,QB,QB,LV,1272574,15,434,293,2745,183,23,16,87,29,23,0.8,1,1,212,14.1,2026
Aaron Rodgers,30,30,QB,QB,PIT,419780,15,432,273,2720,181.3,19,8,87.9,19,54,2.8,1,3,201,13.4,2026
Michael Penix Jr.,31,31,QB,QB,ATL,2963496,14,417,258,2930,209.3,19,11,87.1,27,54,2,0,2,197,14.1,2026
Jameis Winston,32,32,QB,QB,NYG,1998197,15,434,254,2727,181.8,19,18,74.3,43,142,3.3,2,3,192,12.8,2026
T. Simpson,33,33,QB,QB,LAR,28878532,15,52,33,393,26.2,3,1,97.7,6,28,4.7,0,0,25,1.7,2026
Marcus Mariota,34,34,QB,QB,WAS,1880862,15,44,27,275,18.3,2,1,84.9,9,54,6,0,0,14,0.9,2026
Case Keenum,35,35,QB,QB,CHI,1137118,1,35,18,205,205,1,1,67,2,8,4,0,0,11,11,2026
Justin Fields,36,42,QB,QB,KC,1273205,15,22,13,142,9.5,1,0,93.4,4,22,5.5,0,0,7,0.5,2026
Mitch Trubisky,37,48,QB,QB,TEN,2060476,15,20,11,110,7.3,1,0,87.5,3,9,3,0,0,7,0.5,2026
Joshua Dobbs,38,37,QB,QB,DET,2071844,15,20,14,161,10.7,1,0,110.6,4,8,2,0,0,7,0.5,2026
Mason Rudolph,39,46,QB,QB,PIT,2131167,15,19,12,121,8.1,1,0,98.8,4,14,3.5,0,0,7,0.5,2026
Jarrett Stidham,40,44,QB,QB,DEN,2180697,15,21,13,126,8.4,1,0,94.5,4,16,4,0,0,7,0.5,2026
Gardner Minshew,41,41,QB,QB,ARI,2183083,15,21,14,131,8.7,1,0,99.5,3,13,4.3,0,0,7,0.5,2026
Drew Lock,42,43,QB,QB,SEA,2185479,15,19,13,156,10.4,1,0,110.9,4,18,4.5,0,0,7,0.5,2026
Quinn Ewers,43,45,QB,QB,JAC,26746721,15,19,12,143,9.5,1,0,103.6,4,17,4.3,0,0,7,0.5,2026
Kenny Pickett,44,39,QB,QB,CAR,2804969,15,19,12,128,8.5,1,0,100.3,4,19,4.8,0,0,7,0.5,2026
Tommy DeVito,45,47,QB,QB,NE,2865426,15,17,12,136,9.1,1,0,113.8,4,18,4.5,0,0,7,0.5,2026
Davis Mills,46,51,QB,QB,HOU,2867381,15,21,13,150,10,1,0,99.3,4,16,4,0,0,7,0.5,2026
Stetson Bennett,47,52,QB,QB,LAR,2871628,15,19,12,133,8.9,1,0,101.4,3,19,6.3,0,0,7,0.5,2026
Tyson Bagent,48,38,QB,QB,CHI,29081346,15,23,13,152,10.1,1,0,91.2,4,5,1.3,0,0,7,0.5,2026
Sam Howell,49,49,QB,QB,DAL,3123797,15,22,13,141,9.4,1,0,93.2,4,10,2.5,0,0,7,0.5,2026
Tyler Huntley,50,40,QB,QB,BAL,3159137,15,15,10,124,8.3,1,0,114.3,4,24,6,0,0,7,0.5,2026
Anthony Richardson,51,36,QB,QB,IND,3163263,15,19,13,144,9.6,1,0,108.2,4,18,4.5,0,0,7,0.5,2026
Jalon Daniels,52,50,QB,QB,TB,3166688,15,15,9,100,6.7,1,0,102.1,2,8,4,0,0,7,0.5,2026
Tyrod Taylor,53,55,QB,QB,GB,1243338,14,17,11,134,9.6,1,0,108.5,4,15,3.8,0,0,6,0.4,2026
Kyle Allen,54,57,QB,QB,BUF,2131782,15,13,7,88,5.9,1,0,100.8,2,2,1,0,0,6,0.4,2026
Kyle McCord,55,56,QB,QB,MIA,26702687,15,12,8,80,5.3,1,0,113.2,2,7,3.5,0,0,6,0.4,2026
Tua Tagovailoa,56,53,QB,QB,ATL,2741209,14,17,11,120,8.6,1,0,105,4,18,4.5,0,0,6,0.4,2026
Cade Klubnik,57,54,QB,QB,NYJ,28874636,15,13,9,83,5.5,1,0,112,2,8,4,0,0,6,0.4,2026
Andy Dalton,58,62,QB,QB,PHI,1125961,15,17,11,129,8.6,1,0,107.2,4,20,5,0,1,5,0.3,2026
Joe Flacco,59,58,QB,QB,CIN,1250697,15,22,15,153,10.2,1,0,103,3,14,4.7,0,1,5,0.3,2026
Carson Wentz,60,59,QB,QB,MIN,1907522,15,17,11,119,7.9,1,1,80.3,4,18,4.5,0,0,5,0.3,2026
Shedeur Sanders,61,61,QB,QB,CLE,26710004,15,19,12,129,8.6,1,1,78.6,4,14,3.5,0,0,5,0.3,2026
Mac Jones,62,63,QB,QB,SF,2741202,15,20,14,148,9.9,1,1,87.1,4,16,4,0,0,5,0.3,2026
Jake Haener,63,64,QB,QB,NYG,2815170,15,18,10,111,7.4,1,1,69.4,4,17,4.3,0,0,5,0.3,2026
Spencer Rattler,64,60,QB,QB,NO,3125863,15,22,15,158,10.5,1,1,85,4,14,3.5,0,0,5,0.3,2026
Fernando Mendoza,65,65,QB,QB,LV,28916321,15,13,9,84,5.6,1,1,80.3,1,7,7,0,0,4,0.3,2026
Athan Kaliakmanis,66,67,QB,QB,WAS,26700919,2,2,1,12,6,0,0,68.8,0,1,0,0,0,0,0,2026
Trey Lance,67,66,QB,QB,LAC,2969444,11,13,9,92,8.4,0,0,89.3,3,12,4,0,0,0,0,2026
