name,Rank,source_rank,position,source_position,team,source_player_id,games_played,pass_attempts,pass_completions,pass_yards,pass_yards_per_game,pass_touchdowns,interceptions,passer_rating,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Matthew Stafford,16,16,QB,QB,LAR,1114942,16,498,315,3676,229.8,30,7,99.8,25,36,1.4,0,2,303,18.9,2026
Baker Mayfield,17,17,QB,QB,TB,2080032,16,508,329,3572,223.3,26,13,91.7,57,365,6.4,3,6,298,18.6,2026
Daniel Jones,18,19,QB,QB,IND,2179245,16,501,317,3614,225.9,28,11,94.3,44,155,3.5,2,3,296,18.5,2026
Malik Willis,19,18,QB,QB,MIA,2804167,16,431,288,2948,184.3,23,16,88.6,134,670,5,5,5,296,18.5,2026
Tyler Shough,20,20,QB,QB,NO,2964064,16,529,354,3806,237.9,23,13,92.1,71,281,4,5,6,294,18.4,2026
C.J. Stroud,21,21,QB,QB,HOU,3163079,16,538,336,3769,235.6,27,11,91.5,48,226,4.7,1,5,294,18.4,2026
Bryce Young,22,22,QB,QB,CAR,3161957,16,485,312,3194,199.6,25,13,89.1,55,240,4.4,4,1,282,17.6,2026
B. Nix,23,23,QB,QB,DEN,3121193,16,528,334,3192,199.5,25,10,87.9,66,270,4.1,3,2,281,17.6,2026
Jacoby Brissett,24,24,QB,QB,ARI,1877247,16,560,366,3636,227.3,24,10,90.4,61,237,3.9,1,5,274,17.1,2026
Sam Darnold,25,26,QB,QB,SEA,2180320,15,429,292,3551,236.7,27,11,103.6,40,118,3,0,5,267,17.8,2026
Kyler Murray,26,25,QB,QB,MIN,2180829,16,416,266,2965,185.3,25,18,87.1,59,382,6.5,3,3,267,16.7,2026
Tua Tagovailoa,27,27,QB,QB,ATL,2741209,16,487,312,3601,225.1,25,12,93.1,27,56,2.1,0,1,263,16.4,2026
Cam Ward,28,28,QB,QB,TEN,3168422,16,520,308,3081,192.6,21,8,83.2,39,169,4.3,2,5,235,14.7,2026
Geno Smith,29,29,QB,QB,NYJ,1700358,16,456,293,2825,176.6,23,14,85.5,59,216,3.7,1,1,234,14.6,2026
Aaron Rodgers,30,30,QB,QB,PIT,419780,16,457,289,2905,181.6,21,8,89.3,22,55,2.5,1,2,224,14,2026
Deshaun Watson,31,31,QB,QB,CLE,2133482,16,393,244,2610,163.1,16,13,81.3,67,346,5.2,2,3,200,12.5,2026
Fernando Mendoza,32,32,QB,QB,LV,28916321,16,417,280,2598,162.4,19,15,84.2,51,236,4.6,1,2,197,12.3,2026
Shedeur Sanders,33,33,QB,QB,CLE,26710004,16,98,61,653,40.8,4,3,82.6,10,63,6.3,0,1,35,2.2,2026
T. Simpson,34,34,QB,QB,LAR,28878532,16,56,35,410,25.6,3,1,95.1,7,30,4.3,0,0,26,1.6,2026
Kirk Cousins,35,35,QB,QB,LV,1272574,16,73,48,467,29.2,3,3,80.1,6,5,0.8,0,0,24,1.5,2026
Drew Lock,36,36,QB,QB,SEA,2185479,16,46,31,367,22.9,3,1,104.2,7,31,4.4,0,0,23,1.4,2026
Marcus Mariota,37,37,QB,QB,WAS,1880862,16,44,28,327,20.4,3,1,99.3,1,6,6,0,0,21,1.3,2026
Carson Wentz,38,38,QB,QB,MIN,1907522,16,44,28,322,20.1,2,2,81.8,7,30,4.3,0,0,14,0.9,2026
Anthony Richardson,39,39,QB,QB,IND,3163263,16,21,13,152,9.5,1,0,99.7,4,19,4.8,0,0,10,0.6,2026
Tyrod Taylor,40,43,QB,QB,GB,1243338,16,20,13,158,9.9,1,0,105.8,4,18,4.5,0,0,9,0.6,2026
Justin Fields,41,41,QB,QB,KC,1273205,16,22,14,144,9,1,0,97.5,4,21,5.3,0,0,9,0.6,2026
Jarrett Stidham,42,40,QB,QB,DEN,2180697,16,22,14,131,8.2,1,0,95.1,4,17,4.3,0,0,9,0.6,2026
Tommy DeVito,43,44,QB,QB,NE,2865426,16,18,13,145,9.1,1,0,114.4,4,19,4.8,0,0,9,0.6,2026
Davis Mills,44,45,QB,QB,HOU,2867381,16,22,14,154,9.6,1,0,99.4,4,18,4.5,0,0,9,0.6,2026
Stetson Bennett,45,42,QB,QB,LAR,2871628,16,20,13,139,8.7,1,0,101.9,3,20,6.7,0,0,9,0.6,2026
Tyler Huntley,46,46,QB,QB,BAL,3159137,16,16,10,130,8.1,1,0,108.9,5,26,5.2,0,0,9,0.6,2026
Mitch Trubisky,47,49,QB,QB,TEN,2060476,16,21,11,113,7.1,1,0,84,3,10,3.3,0,0,8,0.5,2026
Joshua Dobbs,48,50,QB,QB,DET,2071844,16,21,15,168,10.5,1,0,110.8,4,9,2.3,0,0,8,0.5,2026
Mason Rudolph,49,52,QB,QB,PIT,2131167,16,20,13,129,8.1,1,0,99.8,4,15,3.8,0,0,8,0.5,2026
Gardner Minshew,50,51,QB,QB,ARI,2183083,16,23,15,148,9.3,1,0,97.7,4,15,3.8,0,0,8,0.5,2026
Cole Payton,51,47,QB,QB,PHI,26725861,16,14,9,102,6.4,1,0,109.8,2,10,5,0,0,8,0.5,2026
Tyson Bagent,52,54,QB,QB,CHI,29081346,16,17,12,146,9.1,1,0,116.3,5,5,1,0,0,8,0.5,2026
Tanner McKee,53,48,QB,QB,PHI,2963945,16,18,11,125,7.8,1,0,100.5,5,15,3,0,0,8,0.5,2026
Jalon Daniels,54,53,QB,QB,TB,3166688,16,16,10,108,6.8,1,0,103.1,2,9,4.5,0,0,8,0.5,2026
Andy Dalton,55,55,QB,QB,PHI,1125961,16,18,12,136,8.5,1,0,107.6,5,22,4.4,0,1,7,0.4,2026
Jameis Winston,56,57,QB,QB,NYG,1998197,16,19,12,130,8.1,1,1,78.8,5,20,4,0,0,7,0.4,2026
Kyle Allen,57,63,QB,QB,BUF,2131782,16,14,8,94,5.9,1,0,101.5,2,2,1,0,0,7,0.4,2026
Quinn Ewers,58,58,QB,QB,JAC,26746721,16,20,13,152,9.5,1,1,83.8,4,18,4.5,0,0,7,0.4,2026
Mac Jones,59,59,QB,QB,SF,2741202,16,21,15,155,9.7,1,1,88.4,4,18,4.5,0,0,7,0.4,2026
Kenny Pickett,60,60,QB,QB,CAR,2804969,16,20,13,128,8,1,1,78.7,4,21,5.3,0,0,7,0.4,2026
Cade Klubnik,61,62,QB,QB,NYJ,28874636,16,14,9,86,5.4,1,0,105.1,2,9,4.5,0,0,7,0.4,2026
Spencer Rattler,62,61,QB,QB,NO,3125863,16,22,14,152,9.5,1,1,80.1,4,16,4,0,0,7,0.4,2026
Brady Cook,63,56,QB,QB,MIA,3163207,16,18,12,118,7.4,1,1,80.3,4,17,4.3,0,0,7,0.4,2026
Michael Penix Jr.,64,64,QB,QB,ATL,2963496,16,27,17,200,12.5,1,1,82.3,5,21,4.2,0,1,6,0.4,2026
Sam Howell,65,65,QB,QB,DAL,3123797,16,24,14,149,9.3,1,1,73.1,4,12,3,0,0,6,0.4,2026
Kyle McCord,66,66,QB,QB,MIA,26702687,16,13,9,89,5.6,1,1,81.9,2,8,4,0,0,5,0.3,2026
Joe Flacco,67,67,QB,QB,CIN,1250697,16,24,16,165,10.3,1,1,82.8,4,15,3.8,0,1,4,0.3,2026
Trey Lance,68,68,QB,QB,LAC,2969444,16,20,13,137,8.6,0,0,84.8,4,18,4.5,0,0,3,0.2,2026
Cooper Rush,69,69,QB,QB,ATL,2000176,1,8,5,56,56,0,0,83.3,0,1,0,0,0,1,1,2026
Jalen Milroe,70,70,QB,QB,SEA,26694943,1,1,0,5,5,0,0,47.9,0,1,0,0,0,0,0,2026
J.J. McCarthy,71,71,QB,QB,MIN,26695214,1,1,1,9,9,0,0,104.2,0,1,0,0,0,0,0,2026
