name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Thomas Fidone II,81,89,TE,TE,NYG,26699695,17,13,10,100,5.9,10,1,0,10,0.6,2026
Elijah Arroyo,82,94,TE,TE,SEA,26700496,16,17,10,108,6.8,10.8,1,0,10,0.6,2026
Josh Cuevas,83,91,TE,TE,BAL,26706410,17,11,8,97,5.7,12.1,1,0,10,0.6,2026
Bauer Sharp,84,85,TE,TE,TB,26730919,17,14,11,112,6.6,10.2,1,0,10,0.6,2026
Hunter Long,85,95,TE,TE,ARI,2867428,17,17,12,88,5.2,7.3,1,0,10,0.6,2026
Jake Tonges,86,78,TE,TE,SF,2870660,16,15,11,98,6.1,8.9,1,0,10,0.6,2026
Oscar Delp,87,90,TE,TE,NO,28873644,16,14,11,109,6.8,9.9,1,0,10,0.6,2026
Tanner Koziol,88,81,TE,TE,JAC,28874303,17,13,10,111,6.5,11.1,1,0,10,0.6,2026
Sam Roush,89,92,TE,TE,CHI,28877184,17,13,10,111,6.5,11.1,1,0,10,0.6,2026
Justin Joly,90,83,TE,TE,MIA,28927892,17,12,9,88,5.2,9.8,1,0,10,0.6,2026
Dallen Bentley,91,79,TE,TE,DEN,29164633,17,15,12,104,6.1,8.7,1,0,10,0.6,2026
Brevyn Spann-Ford,92,96,TE,TE,DAL,2961760,17,16,11,108,6.4,9.8,1,0,10,0.6,2026
Josh Whyle,93,88,TE,TE,GB,2962513,17,12,10,86,5.1,8.6,1,0,10,0.6,2026
Payne Durham,94,86,TE,TE,TB,2968469,17,16,9,96,5.6,10.7,1,0,10,0.6,2026
Jared Wiley,95,87,TE,TE,KC,3123819,17,14,11,96,5.6,8.7,1,0,10,0.6,2026
Matthew Hibner,96,84,TE,TE,BAL,3169490,17,11,8,97,5.7,12.1,1,0,10,0.6,2026
Durham Smythe,97,99,TE,TE,BAL,2082845,17,13,8,79,4.6,9.9,1,0,9,0.5,2026
Chris Manhertz,98,97,TE,TE,NYG,2167520,17,12,8,84,4.9,10.5,1,0,9,0.5,2026
K. Kieft,99,98,TE,TE,TB,2239763,17,10,8,81,4.8,10.1,1,0,9,0.5,2026
Will Mallory,100,100,TE,TE,IND,2962073,13,10,8,97,7.5,12.1,1,0,8,0.6,2026
