name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Rashod Bateman,74,74,WR,WR,BAL,2960940,16,53,29,436,27.3,15,6,0,0,0,0,0,72,4.5,2026
Tre Tucker,75,75,WR,WR,LV,3121848,16,78,47,563,35.2,12,3,10,38,3.8,0,0,68,4.3,2026
Jordyn Tyson,76,76,WR,WR,NO,28900885,13,68,42,603,46.4,14.4,3,2,8,4,0,1,67,5.2,2026
Jaylin Noel,77,77,WR,WR,HOU,26697286,16,53,39,545,34.1,14,3,5,11,2.2,0,0,65,4.1,2026
Demarcus Robinson,78,79,WR,WR,SF,2061095,16,49,30,469,29.3,15.6,4,1,4,4,0,0,63,3.9,2026
Chris Bell,79,78,WR,WR,MIA,28877196,16,71,43,555,34.7,12.9,3,2,9,4.5,0,1,63,3.9,2026
Adonai Mitchell,80,80,WR,WR,NYJ,26701928,16,77,39,535,33.4,13.7,3,2,0,0,0,1,62,3.9,2026
Isaac TeSlaa,81,82,WR,WR,DET,29122587,16,49,26,391,24.4,15,5,0,0,0,0,0,61,3.8,2026
Xavier Hutchinson,82,81,WR,WR,HOU,3161943,16,78,42,497,31.1,11.8,3,1,12,12,0,0,61,3.8,2026
Ashton Dulin,83,83,WR,WR,IND,3116796,16,47,23,541,33.8,23.5,2,4,48,12,0,0,60,3.8,2026
Omar Cooper Jr.,84,84,WR,WR,NYJ,28900921,16,62,40,498,31.1,12.5,3,2,12,6,0,1,59,3.7,2026
Tank Dell,85,85,WR,WR,HOU,2963970,13,61,38,492,37.8,13,3,9,41,4.6,0,0,58,4.5,2026
Jahdae Walker,86,86,WR,WR,CHI,29174299,16,42,27,351,21.9,13,5,1,5,5,0,0,57,3.6,2026
Christian Kirk,87,87,WR,WR,SF,2180820,13,74,42,474,36.5,11.3,3,0,0,0,0,0,56,4.3,2026
Kalif Raymond,88,88,WR,WR,CHI,1999329,16,46,38,437,27.3,11.5,3,3,15,5,0,0,54,3.4,2026
Josh Palmer,89,90,WR,WR,BUF,2867325,16,51,30,444,27.8,14.8,3,0,0,0,0,0,54,3.4,2026
Chimere Dike,90,89,WR,WR,TEN,3162452,16,61,41,383,23.9,9.3,5,8,10,1.3,0,3,54,3.4,2026
Andrei Iosivas,91,92,WR,WR,CIN,2966908,16,57,33,421,26.3,12.8,3,2,9,4.5,0,0,52,3.3,2026
Luke McCaffrey,92,91,WR,WR,WAS,3121502,16,31,23,356,22.3,15.5,4,0,0,0,0,0,52,3.3,2026
Kendrick Bourne,93,93,WR,WR,ARI,2088428,16,52,39,468,29.3,12,2,0,1,0,0,0,51,3.2,2026
Isaiah Bond,94,94,WR,WR,CLE,28910521,16,50,25,513,32.1,20.5,1,6,34,5.7,0,0,51,3.2,2026
Malik Washington,95,96,WR,WR,MIA,3124729,16,68,45,365,22.8,8.1,3,12,70,5.8,1,3,49,3.1,2026
Tory Horton,96,95,WR,WR,SEA,3165177,16,42,25,327,20.4,13.1,4,1,6,6,0,0,49,3.1,2026
Olamide Zaccheaus,97,97,WR,WR,ATL,2186266,16,64,41,362,22.6,8.8,3,3,17,5.7,0,0,47,2.9,2026
De'Zhaun Stribling,98,99,WR,WR,SF,26696676,12,57,35,462,38.5,13.2,2,2,9,4.5,0,1,47,3.9,2026
Malachi Fields,99,98,WR,WR,NYG,26706066,16,46,29,394,24.6,13.6,3,2,12,6,0,1,47,2.9,2026
Ted Hurst,100,100,WR,WR,TB,29421796,16,51,33,437,27.3,13.2,2,2,11,5.5,0,1,46,2.9,2026
