name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Tucker Kraft,76,76,TE,GB,5718,73.7,10.02,247,52,105,8.2,11,ppr,8,6,3526,2026-07-21,2026-07-28
Parker Washington,77,77,WR,JAX,5705,75,10.03,237,53,95,8.1,7,ppr,8,6,3526,2026-07-21,2026-07-28
Rico Dowdle,78,78,RB,PIT,5095,78.1,10.06,164,63,96,6.5,9,ppr,8,6,3526,2026-07-21,2026-07-28
Jordyn Tyson,79,79,WR,NO,6771,78.4,10.06,221,56,106,9.8,8,ppr,8,6,3526,2026-07-21,2026-07-28
Chris Godwin Jr.,80,80,WR,TB,2465,81.1,11.01,317,61,97,7.5,10,ppr,8,6,3526,2026-07-21,2026-07-28
Jayden Daniels,81,81,QB,WAS,5854,81.8,11.02,254,53,115,12.7,7,ppr,8,6,3526,2026-07-21,2026-07-28
Chuba Hubbard,82,82,RB,CAR,4873,81.9,11.02,316,58,113,9.1,5,ppr,8,6,3526,2026-07-21,2026-07-28
Brian Thomas Jr.,83,83,WR,JAX,6175,82.1,11.02,522,61,103,7.9,7,ppr,8,6,3526,2026-07-21,2026-07-28
Justin Herbert,84,84,QB,LAC,4887,82.4,11.02,262,58,111,11.1,7,ppr,8,6,3526,2026-07-21,2026-07-28
Michael Wilson,85,85,WR,ARI,5721,83.8,11.04,266,63,103,7.8,14,ppr,8,6,3526,2026-07-21,2026-07-28
Kyle Pitts Sr.,86,86,TE,ATL,5181,85.8,11.06,280,57,138,14,11,ppr,8,6,3526,2026-07-21,2026-07-28
Trevor Lawrence,87,87,QB,JAX,5186,88.3,11.08,218,63,114,10.7,7,ppr,8,6,3526,2026-07-21,2026-07-28
Jalen Hurts,88,88,QB,PHI,5025,89,12.01,317,49,122,15.3,10,ppr,8,6,3526,2026-07-21,2026-07-28
Josh Downs,89,89,WR,IND,5680,90.1,12.02,197,66,117,9,13,ppr,8,6,3526,2026-07-21,2026-07-28
Jayden Reed,90,90,WR,GB,5707,90.3,12.02,163,72,105,7.7,11,ppr,8,6,3526,2026-07-21,2026-07-28
J.K. Dobbins,91,91,RB,DEN,4888,91.6,12.04,309,62,118,11.1,10,ppr,8,6,3526,2026-07-21,2026-07-28
Jordan Addison,92,92,WR,MIN,5673,91.7,12.04,127,65,120,10,6,ppr,8,6,3526,2026-07-21,2026-07-28
Jakobi Meyers,93,93,WR,JAX,3496,92.2,12.04,156,69,120,8.6,7,ppr,8,6,3526,2026-07-21,2026-07-28
Brock Purdy,94,95,QB,SF,5648,93.6,12.06,118,56,124,16.7,8,ppr,8,6,3526,2026-07-21,2026-07-28
Travis Kelce,95,96,TE,KC,1989,94.6,12.07,127,48,142,17.7,5,ppr,8,6,3526,2026-07-21,2026-07-28
Wan'Dale Robinson,96,97,WR,TEN,5588,95,12.07,189,69,119,10.6,9,ppr,8,6,3526,2026-07-21,2026-07-28
RJ Harvey,97,98,RB,DEN,6530,96.3,12.08,361,61,131,13.5,10,ppr,8,6,3526,2026-07-21,2026-07-28
Kenny Gainwell,98,99,RB,TB,5196,96.6,13.01,206,66,128,11.5,10,ppr,8,6,3526,2026-07-21,2026-07-28
Makai Lemon,99,100,WR,PHI,6772,97.7,13.02,339,67,125,11.7,10,ppr,8,6,3526,2026-07-21,2026-07-28
Jared Goff,100,101,QB,DET,2351,99.5,13.04,184,62,128,14.1,6,ppr,8,6,3526,2026-07-21,2026-07-28
Caleb Williams,101,103,QB,CHI,6173,100.1,13.04,438,61,131,14.8,10,ppr,8,6,3526,2026-07-21,2026-07-28
Kyle Monangai,102,102,RB,CHI,6534,100.1,13.04,375,64,142,13.6,10,ppr,8,6,3526,2026-07-21,2026-07-28
Matthew Stafford,103,104,QB,LAR,1664,100.1,13.04,316,65,127,13.2,11,ppr,8,6,3526,2026-07-21,2026-07-28
Aaron Jones Sr.,104,106,RB,MIN,2507,100.6,13.05,160,68,124,12.3,6,ppr,8,6,3526,2026-07-21,2026-07-28
Ricky Pearsall,105,107,WR,SF,6199,101.7,13.06,378,79,121,8.6,8,ppr,8,6,3526,2026-07-21,2026-07-28
Quentin Johnston,106,108,WR,LAC,5674,102.3,13.06,348,76,125,10,7,ppr,8,6,3526,2026-07-21,2026-07-28
Xavier Worthy,107,109,WR,KC,6172,102.8,13.07,160,81,120,8,5,ppr,8,6,3526,2026-07-21,2026-07-28
Patrick Mahomes,108,110,QB,KC,2462,103.2,13.07,299,57,130,17.6,5,ppr,8,6,3526,2026-07-21,2026-07-28
Romeo Doubs,109,111,WR,NE,5586,103.3,13.07,88,83,121,7.5,11,ppr,8,6,3526,2026-07-21,2026-07-28
George Kittle,110,113,TE,SF,2499,104.8,14.01,378,59,150,17.5,8,ppr,8,6,3526,2026-07-21,2026-07-28
Rachaad White,111,114,RB,WAS,5626,106,14.02,248,74,143,12.3,7,ppr,8,6,3526,2026-07-21,2026-07-28
Khalil Shakir,112,116,WR,BUF,5636,107.6,14.04,90,85,126,8.6,7,ppr,8,6,3526,2026-07-21,2026-07-28
Matthew Golden,113,118,WR,GB,6523,116.3,15.04,230,95,145,7.8,11,ppr,8,6,3526,2026-07-21,2026-07-28
Blake Corum,114,119,RB,LAR,5965,116.8,15.05,557,79,148,14.2,11,ppr,8,6,3526,2026-07-21,2026-07-28
Bo Nix,115,120,QB,DEN,6253,119,15.07,236,90,142,10.9,10,ppr,8,6,3526,2026-07-21,2026-07-28
Jake Ferguson,116,121,TE,DAL,5561,119.1,15.07,305,76,150,18.1,14,ppr,8,6,3526,2026-07-21,2026-07-28
Jayden Higgins,117,122,WR,HOU,6577,119.4,15.07,112,94,145,9.4,8,ppr,8,6,3526,2026-07-21,2026-07-28
Jordan Mason,118,123,RB,MIN,5330,119.7,15.08,356,83,152,13.8,6,ppr,8,6,3526,2026-07-21,2026-07-28
KC Concepcion,119,124,WR,CLE,6774,119.8,15.08,218,96,142,8.8,11,ppr,8,6,3526,2026-07-21,2026-07-28
Jaxson Dart,120,125,QB,NYG,6568,120.2,15.08,216,90,148,11.6,8,ppr,8,6,3526,2026-07-21,2026-07-28
Tyjae Spears,121,126,RB,TEN,5692,121.9,16.02,60,87,144,13.1,9,ppr,8,6,3526,2026-07-21,2026-07-28
MarShawn Lloyd,122,127,RB,GB,5622,122.6,16.03,8,105,200,31.9,11,ppr,8,6,3526,2026-07-21,2026-07-28
Jalen Coker,123,128,WR,CAR,6302,124.1,16.04,107,99,142,9.8,5,ppr,8,6,3526,2026-07-21,2026-07-28
Jacory Croskey-Merritt,124,129,RB,WAS,6595,124.7,16.05,219,89,150,13.5,7,ppr,8,6,3526,2026-07-21,2026-07-28
Dallas Goedert,125,130,TE,PHI,2896,125.9,16.06,233,85,152,15.6,10,ppr,8,6,3526,2026-07-21,2026-07-28
Jonathon Brooks,126,131,RB,CAR,6179,126.5,16.07,599,83,162,16.5,5,ppr,8,6,3526,2026-07-21,2026-07-28
Rashid Shaheed,127,135,WR,SEA,5896,130.6,17.03,213,110,150,7.8,11,ppr,8,6,3526,2026-07-21,2026-07-28
Omar Cooper Jr.,128,136,WR,NYJ,6775,130.7,17.03,36,94,150,13.8,13,ppr,8,6,3526,2026-07-21,2026-07-28
Baker Mayfield,129,137,QB,TB,2886,131.2,17.03,124,101,149,11.3,10,ppr,8,6,3526,2026-07-21,2026-07-28
Jordan Love,130,138,QB,GB,4892,131.4,17.03,110,112,143,7.1,11,ppr,8,6,3526,2026-07-21,2026-07-28
Mark Andrews,131,139,TE,BAL,2872,131.6,17.04,207,89,171,16.9,13,ppr,8,6,3526,2026-07-21,2026-07-28
Jauan Jennings,132,140,WR,MIN,5020,133.7,17.06,116,105,161,11.7,6,ppr,8,6,3526,2026-07-21,2026-07-28
Dalton Kincaid,133,141,TE,BUF,5688,135.1,17.07,193,93,168,15.9,7,ppr,8,6,3526,2026-07-21,2026-07-28
Tre Tucker,134,142,WR,LV,5977,136.6,18.01,50,116,148,7.6,13,ppr,8,6,3526,2026-07-21,2026-07-28
Denzel Boston,135,143,WR,CLE,6778,136.8,18.01,35,119,147,6.7,11,ppr,8,6,3526,2026-07-21,2026-07-28
Jaydon Blue,136,144,RB,DAL,6557,137.2,18.01,21,62,152,28.6,14,ppr,8,6,3526,2026-07-21,2026-07-28
Jalen McMillan,137,145,WR,TB,6282,138.9,18.03,58,106,161,12.5,10,ppr,8,6,3526,2026-07-21,2026-07-28
Woody Marks,138,146,RB,HOU,6529,139,18.03,129,79,180,22.8,8,ppr,8,6,3526,2026-07-21,2026-07-28
Isaiah Likely,139,149,TE,NYG,5661,139.8,18.04,465,90,178,18.8,8,ppr,8,6,3526,2026-07-21,2026-07-28
Kyler Murray,140,148,QB,MIN,3299,139.8,18.04,191,102,177,14.2,6,ppr,8,6,3526,2026-07-21,2026-07-28
Tyler Shough,141,155,QB,NO,5602,144.8,19.01,129,110,179,13.2,8,ppr,8,6,3526,2026-07-21,2026-07-28
Brenton Strange,142,157,TE,JAX,5985,146.1,19.02,78,104,177,18,7,ppr,8,6,3526,2026-07-21,2026-07-28
Jalen Nailor,143,158,WR,LV,5334,146.5,19.02,87,114,177,13.7,13,ppr,8,6,3526,2026-07-21,2026-07-28
Isiah Pacheco,144,159,RB,DET,5337,146.6,19.03,118,97,180,19.3,6,ppr,8,6,3526,2026-07-21,2026-07-28
Brandon Aiyuk,145,160,WR,SF,4891,147,19.03,17,124,170,12.5,8,ppr,8,6,3526,2026-07-21,2026-07-28
Jerry Jeudy,146,161,WR,CLE,4861,147.6,19.04,125,113,177,13.8,11,ppr,8,6,3526,2026-07-21,2026-07-28
Hunter Henry,147,162,TE,NE,2354,147.6,19.04,57,110,179,14.5,11,ppr,8,6,3526,2026-07-21,2026-07-28
C.J. Stroud,148,163,QB,HOU,5676,147.9,19.04,64,124,172,10.9,8,ppr,8,6,3526,2026-07-21,2026-07-28
Mike Washington Jr.,149,165,RB,LV,6803,148.9,19.05,7,91,208,45.6,13,ppr,8,6,3526,2026-07-21,2026-07-28
Chris Rodriguez Jr.,150,167,RB,JAX,5717,151.1,19.07,85,116,179,16.3,7,ppr,8,6,3526,2026-07-21,2026-07-28
Antonio Williams,151,168,WR,WAS,6789,151.8,19.08,41,128,179,13.3,7,ppr,8,6,3526,2026-07-21,2026-07-28
Sam Darnold,152,170,QB,SEA,2884,152.3,19.08,111,112,180,15.2,11,ppr,8,6,3526,2026-07-21,2026-07-28
Justice Hill,153,172,RB,BAL,3266,152.6,20.01,10,116,178,26.7,13,ppr,8,6,3526,2026-07-21,2026-07-28
Tyrone Tracy Jr.,154,178,RB,NYG,6276,156.5,20.05,116,109,179,17.9,8,ppr,8,6,3526,2026-07-21,2026-07-28
Malik Washington,155,179,WR,MIA,6287,156.5,20.05,56,111,180,17.5,6,ppr,8,6,3526,2026-07-21,2026-07-28
